Round,ID,Contribution,Total Points Sent,Cost,Punishment Received,Punishment Tax Rate,Earnings,Cumulative Earnings,Key,Other_ID1,Other_ID2,Other_ID3,Other_Response1,Other_Response2,Other_Response3,Group,Gender
1,1,2,*,*.*,*,*.*,4.5,4.5,1,2,3,4,3,1,1,1,M
1,2,3,*,*.*,*,*.*,3.5,3.5,2,1,3,4,2,1,1,1,M
1,3,1,*,*.*,*,*.*,5.5,5.5,3,1,2,4,2,3,1,1,M
1,4,1,*,*.*,*,*.*,5.5,5.5,4,1,2,3,2,3,1,1,M
1,5,1,*,*.*,*,*.*,4.5,4.5,5,6,7,8,2,0,2,2,F
1,6,2,*,*.*,*,*.*,3.5,3.5,6,5,7,8,1,0,2,2,F
1,7,0,*,*.*,*,*.*,5.5,5.5,7,5,6,8,1,2,2,2,M
1,8,2,*,*.*,*,*.*,3.5,3.5,8,5,6,7,1,2,0,2,F
1,9,0,*,*.*,*,*.*,6.5,6.5,9,10,11,12,2,3,2,3,M
1,10,2,*,*.*,*,*.*,4.5,4.5,10,9,11,12,0,3,2,3,F
1,11,3,*,*.*,*,*.*,3.5,3.5,11,9,10,12,0,2,2,3,M
1,12,2,*,*.*,*,*.*,4.5,4.5,12,9,10,11,0,2,3,3,
1,13,2,*,*.*,*,*.*,5.0,5.0,13,14,15,16,1,2,3,4,
1,14,1,*,*.*,*,*.*,6.0,6.0,14,13,15,16,2,2,3,4,F
1,15,2,*,*.*,*,*.*,5.0,5.0,15,13,14,16,2,1,3,4,M
1,16,3,*,*.*,*,*.*,4.0,4.0,16,13,14,15,2,1,2,4,F
1,17,2,*,*.*,*,*.*,3.5,3.5,17,18,19,20,0,1,2,5,F
1,18,0,*,*.*,*,*.*,5.5,5.5,18,17,19,20,2,1,2,5,M
1,19,1,*,*.*,*,*.*,4.5,4.5,19,17,18,20,2,0,2,5,F
1,20,2,*,*.*,*,*.*,3.5,3.5,20,17,18,19,2,0,1,5,F
1,21,3,*,*.*,*,*.*,4.0,4.0,21,22,23,24,1,2,2,6,F
1,22,1,*,*.*,*,*.*,6.0,6.0,22,21,23,24,3,2,2,6,F
1,23,2,*,*.*,*,*.*,5.0,5.0,23,21,22,24,3,1,2,6,M
1,24,2,*,*.*,*,*.*,5.0,5.0,24,21,22,23,3,1,2,6,F
1,25,1,*,*.*,*,*.*,4.5,4.5,25,26,27,28,2,2,0,7,F
1,26,2,*,*.*,*,*.*,3.5,3.5,26,25,27,28,1,2,0,7,F
1,27,2,*,*.*,*,*.*,3.5,3.5,27,25,26,28,1,2,0,7,F
1,28,0,*,*.*,*,*.*,5.5,5.5,28,25,26,27,1,2,2,7,M
1,29,1,*,*.*,*,*.*,5.5,5.5,29,30,31,32,2,3,1,8,F
1,30,2,*,*.*,*,*.*,4.5,4.5,30,29,31,32,1,3,1,8,M
1,31,3,*,*.*,*,*.*,3.5,3.5,31,29,30,32,1,2,1,8,F
1,32,1,*,*.*,*,*.*,5.5,5.5,32,29,30,31,1,2,3,8,F
2,1,2,*,*.*,*,*.*,4.5,9.0,33,2,3,4,2,1,2,1,M
2,2,2,*,*.*,*,*.*,4.5,8.0,34,1,3,4,2,1,2,1,M
2,3,1,*,*.*,*,*.*,5.5,11.0,35,1,2,4,2,2,2,1,M
2,4,2,*,*.*,*,*.*,4.5,10.0,36,1,2,3,2,2,1,1,M
2,5,1,*,*.*,*,*.*,4.5,9.0,37,6,7,8,2,0,2,2,F
2,6,2,*,*.*,*,*.*,3.5,7.0,38,5,7,8,1,0,2,2,F
2,7,0,*,*.*,*,*.*,5.5,11.0,39,5,6,8,1,2,2,2,M
2,8,2,*,*.*,*,*.*,3.5,7.0,40,5,6,7,1,2,0,2,F
2,9,3,*,*.*,*,*.*,5.5,12.0,41,10,11,12,3,3,2,3,M
2,10,3,*,*.*,*,*.*,5.5,10.0,42,9,11,12,3,3,2,3,F
2,11,3,*,*.*,*,*.*,5.5,9.0,43,9,10,12,3,3,2,3,M
2,12,2,*,*.*,*,*.*,6.5,11.0,44,9,10,11,3,3,3,3,
2,13,2,*,*.*,*,*.*,4.0,9.0,45,14,15,16,2,2,0,4,
2,14,2,*,*.*,*,*.*,4.0,10.0,46,13,15,16,2,2,0,4,F
2,15,2,*,*.*,*,*.*,4.0,9.0,47,13,14,16,2,2,0,4,M
2,16,0,*,*.*,*,*.*,6.0,10.0,48,13,14,15,2,2,2,4,F
2,17,3,*,*.*,*,*.*,3.0,6.5,49,18,19,20,0,1,2,5,F
2,18,0,*,*.*,*,*.*,6.0,11.5,50,17,19,20,3,1,2,5,M
2,19,1,*,*.*,*,*.*,5.0,9.5,51,17,18,20,3,0,2,5,F
2,20,2,*,*.*,*,*.*,4.0,7.5,52,17,18,19,3,0,1,5,F
2,21,3,*,*.*,*,*.*,5.0,9.0,53,22,23,24,2,2,3,6,F
2,22,2,*,*.*,*,*.*,6.0,12.0,54,21,23,24,3,2,3,6,F
2,23,2,*,*.*,*,*.*,6.0,11.0,55,21,22,24,3,2,3,6,M
2,24,3,*,*.*,*,*.*,5.0,10.0,56,21,22,23,3,2,2,6,F
2,25,1,*,*.*,*,*.*,4.5,9.0,57,26,27,28,2,2,0,7,F
2,26,2,*,*.*,*,*.*,3.5,7.0,58,25,27,28,1,2,0,7,F
2,27,2,*,*.*,*,*.*,3.5,7.0,59,25,26,28,1,2,0,7,F
2,28,0,*,*.*,*,*.*,5.5,11.0,60,25,26,27,1,2,2,7,M
2,29,2,*,*.*,*,*.*,5.5,11.0,61,30,31,32,2,3,2,8,F
2,30,2,*,*.*,*,*.*,5.5,10.0,62,29,31,32,2,3,2,8,M
2,31,3,*,*.*,*,*.*,4.5,8.0,63,29,30,32,2,2,2,8,F
2,32,2,*,*.*,*,*.*,5.5,11.0,64,29,30,31,2,2,3,8,F
3,1,2,*,*.*,*,*.*,4.0,13.0,65,2,3,4,3,0,1,1,M
3,2,3,*,*.*,*,*.*,3.0,11.0,66,1,3,4,2,0,1,1,M
3,3,0,*,*.*,*,*.*,6.0,17.0,67,1,2,4,2,3,1,1,M
3,4,1,*,*.*,*,*.*,5.0,15.0,68,1,2,3,2,3,0,1,M
3,5,1,*,*.*,*,*.*,4.5,13.5,69,6,7,8,3,0,1,2,F
3,6,3,*,*.*,*,*.*,2.5,9.5,70,5,7,8,1,0,1,2,F
3,7,0,*,*.*,*,*.*,5.5,16.5,71,5,6,8,1,3,1,2,M
3,8,1,*,*.*,*,*.*,4.5,11.5,72,5,6,7,1,3,0,2,F
3,9,2,*,*.*,*,*.*,6.5,18.5,73,10,11,12,3,3,3,3,M
3,10,3,*,*.*,*,*.*,5.5,15.5,74,9,11,12,2,3,3,3,F
3,11,3,*,*.*,*,*.*,5.5,14.5,75,9,10,12,2,3,3,3,M
3,12,3,*,*.*,*,*.*,5.5,16.5,76,9,10,11,2,3,3,3,
3,13,1,*,*.*,*,*.*,5.0,14.0,77,14,15,16,2,1,2,4,
3,14,2,*,*.*,*,*.*,4.0,14.0,78,13,15,16,1,1,2,4,F
3,15,1,*,*.*,*,*.*,5.0,14.0,79,13,14,16,1,2,2,4,M
3,16,2,*,*.*,*,*.*,4.0,14.0,80,13,14,15,1,2,1,4,F
3,17,3,*,*.*,*,*.*,3.5,10.0,81,18,19,20,0,2,2,5,F
3,18,0,*,*.*,*,*.*,6.5,18.0,82,17,19,20,3,2,2,5,M
3,19,2,*,*.*,*,*.*,4.5,14.0,83,17,18,20,3,0,2,5,F
3,20,2,*,*.*,*,*.*,4.5,12.0,84,17,18,19,3,0,2,5,F
3,21,3,*,*.*,*,*.*,5.0,14.0,85,22,23,24,2,3,2,6,F
3,22,2,*,*.*,*,*.*,6.0,18.0,86,21,23,24,3,3,2,6,F
3,23,3,*,*.*,*,*.*,5.0,16.0,87,21,22,24,3,2,2,6,M
3,24,2,*,*.*,*,*.*,6.0,16.0,88,21,22,23,3,2,3,6,F
3,25,1,*,*.*,*,*.*,4.5,13.5,89,26,27,28,2,2,0,7,F
3,26,2,*,*.*,*,*.*,3.5,10.5,90,25,27,28,1,2,0,7,F
3,27,2,*,*.*,*,*.*,3.5,10.5,91,25,26,28,1,2,0,7,F
3,28,0,*,*.*,*,*.*,5.5,16.5,92,25,26,27,1,2,2,7,M
3,29,2,*,*.*,*,*.*,5.5,16.5,93,30,31,32,1,3,3,8,F
3,30,1,*,*.*,*,*.*,6.5,16.5,94,29,31,32,2,3,3,8,M
3,31,3,*,*.*,*,*.*,4.5,12.5,95,29,30,32,2,1,3,8,F
3,32,3,*,*.*,*,*.*,4.5,15.5,96,29,30,31,2,1,3,8,F
4,1,2,*,*.*,*,*.*,4.5,17.5,97,2,3,4,2,2,1,1,M
4,2,2,*,*.*,*,*.*,4.5,15.5,98,1,3,4,2,2,1,1,M
4,3,2,*,*.*,*,*.*,4.5,21.5,99,1,2,4,2,2,1,1,M
4,4,1,*,*.*,*,*.*,5.5,20.5,100,1,2,3,2,2,2,1,M
4,5,1,*,*.*,*,*.*,5.0,18.5,101,6,7,8,3,0,2,2,F
